"","x","y"
"1",462902,3502295
"2",455613,3489437
"3",475480,3489989
"4",452449,3495317
"5",469601,3493619
"6",448291,3515966
"7",451978,3483128
"8",457908,3495576
"9",452222,3495114
"10",449913,3497006
"11",454143,3490829
"12",456502,3508808
"13",447220,3516488
"14",456758,3513201
"15",457513,3488987
"16",447029,3488543
"17",446118,3505481
"18",452768,3501197
"19",457553,3485767
"20",456714,3490743
"21",461364,3514276
"22",457547,3483256
"23",457222,3487624
"24",458260,3494604
"25",456647,3488255
"26",455768,3497486
"27",454314,3496778
"28",451309,3491106
"29",459310,3510324
"30",454281,3498456
"31",452978,3494722
"32",454961,3497354
"33",456807,3495106
"34",455963,3502433
"35",454623,3499676
"36",463622,3509450
"37",455399,3493493
"38",458367,3493136
"39",448991,3497222
"40",452198,3494259
"41",453114,3513510
"42",444563,3502029
"43",446545,3503509
"44",449374,3498677
"45",446372,3498321
"46",446301,3500129
"47",447904,3500289
"48",443564,3498267
"49",466270,3485721
"50",445915,3489700
"51",449913,3497006
"52",443623,3498229
"53",444174,3496048
"54",443974,3494770
"55",445600,3495521
"56",445911,3495566
"57",468007,3501835
"58",467735,3501751
"59",468694,3500270
"60",467268,3495268
"61",473168,3501287
"62",473444,3499883
"63",475831,3497284
"64",473796,3497152
"65",476224,3495036
"66",476371,3496669
"67",446128,3493961
"68",446042,3494207
"69",451292,3491473
"70",451223,3490930
"71",444077,3487888
"72",461277,3492489
"73",464043,3494002
"74",466537,3491022
"75",471189,3493808
"76",471305,3493710
"77",472366,3492886
"78",473390,3494022
"79",472701,3492481
"80",473353,3492611
"81",473580,3492581
"82",472826,3494293
"83",476442,3493771
"84",475518,3492379
"85",474962,3492909
"86",470868,3491402
"87",472629,3488800
"88",473668,3489415
"89",473870,3488646
"90",473973,3487333
"91",475438,3487332
"92",474072,3487294
"93",472822,3487489
"94",469737,3487532
"95",454833,3480608
"96",447327,3485436
"97",473681,3492924
"98",473791,3492148
"99",468393,3493369
"100",468642,3493036
"101",446342,3491294
"102",446263,3491322
"103",450598,3495311
"104",458162,3507170
"105",454467,3508426
"106",458743,3519686
"107",464880,3511184
"108",465415,3510319
"109",464726,3506638
"110",462452,3502683
"111",451548,3483253
"112",459409,3486883
"113",459332,3486959
"114",458650,3487796
"115",466591,3488689
"116",461541,3492341
"117",443891,3493191
"118",446128,3493961
"119",446191,3494141
"120",451052,3494618
"121",464062,3494421
"122",445697,3495565
"123",443677,3498211
"124",441709,3501719
"125",443588,3503930
"126",443535,3504164
"127",441134,3504401
"128",442892,3504518
"129",442791,3504729
"130",453896,3485667
"131",468907,3511299
"132",453323,3520778
"133",453842,3520481
"134",453183,3513509
"135",456652,3513160
"136",445301,3505549
"137",461785,3507918
"138",465528,3508746
"139",458824,3519146
"140",443629,3499986
"141",450104,3500041
"142",450146,3500036
"143",450325,3500008
"144",450592,3499936
"145",463691,3485241
"146",486242,3471962
"147",439582,3494546
"148",482702,3486078
"149",470257,3482748
"150",458507,3499171
"151",458491,3498141
"152",476584,3489355
"153",466376,3491761
"154",471859,3486034
"155",461593,3512465
"156",456681,3489291
"157",454991,3490041
"158",440391,3500291
"159",448175,3493985
"160",483079,3485099
"161",458216,3512695
"162",471608,3478812
"163",461380,3523037
"164",461465,3523137
"165",462778,3512794
"166",465448,3493261
"167",466782,3480237
"168",463791,3478491
"169",467780,3485149
"170",441291,3493991
"171",457570,3488978
"172",447559,3490148
"173",460103,3489014
"174",461743,3480272
"175",470276,3498271
"176",461960,3519812
"177",461956,3519724
"178",457091,3484441
"179",469141,3493091
"180",439682,3498603
"181",464291,3493291
"182",457520,3517106
"183",460693,3481875
"184",450760,3495393
"185",455202,3504044
"186",440041,3499661
"187",486348,3471329
"188",466504,3487865
"189",456569,3510283
"190",471539,3488040
"191",468891,3492891
"192",485797,3472423
"193",463858,3487343
"194",460592,3519353
"195",465802,3504694
"196",465857,3514308
"197",456691,3500391
"198",470154,3486827
"199",443561,3498991
"200",466483,3494660
"201",475018,3480224
"202",466788,3485871
"203",484243,3481730
"204",465647,3523841
"205",451064,3485563
"206",441573,3499673
"207",460349,3514858
"208",458308,3502477
"209",453454,3487484
"210",459858,3498141
"211",460441,3495491
"212",454173,3483717
"213",445678,3491865
"214",456228,3506840
"215",448577,3506995
"216",483936,3480348
"217",450254,3501153
"218",450842,3504239
"219",470275,3481794
"220",452929,3508063
"221",469484,3488915
"222",454981,3523158
"223",454072,3512392
"224",446289,3498304
"225",483427,3485428
"226",458741,3519441
"227",461491,3489791
"228",463917,3515617
"229",445040,3493288
"230",439975,3495058
"231",465219,3478260
"232",467632,3501983
"233",457441,3513841
"234",461431,3516972
"235",455789,3519187
"236",467971,3508948
"237",454174,3519521
"238",455061,3509727
"239",466113,3494054
"240",456874,3495106
"241",457547,3505484
"242",485480,3477747
"243",469713,3491998
"244",473061,3479639
"245",470277,3488067
"246",468867,3478599
"247",459075,3484765
"248",454460,3489002
"249",468849,3519688
"250",462081,3516500
"251",465738,3521214
"252",465743,3521262
"253",470300,3511254
"254",472249,3495658
"255",487296,3474221
"256",455071,3516613
"257",454266,3518113
"258",465178,3516995
"259",458193,3500723
"260",487709,3472421
"261",453983,3504759
"262",448925,3497303
"263",442916,3493785
"264",467025,3477956
"265",469988,3477091
"266",460991,3492291
"267",470470,3477964
"268",466037,3519035
"269",468548,3514906
"270",464191,3493891
"271",462383,3495365
"272",444374,3494345
"273",446833,3499199
"274",452642,3493823
