"","x"
"1","Intermittent"
"2","Intermittent"
"3","Permanent"
"4","Intermittent"
"5","Semi-permanent"
"6","Intermittent"
"7","Intermittent"
"8","Intermittent"
"9","Intermittent"
"10","Intermittent"
"11","Intermittent"
"12","Intermittent"
"13","Intermittent"
"14","Intermittent"
"15","Permanent"
"16","Semi-permanent"
"17","Intermittent"
"18","Permanent"
"19","Intermittent"
"20","Intermittent"
"21","Intermittent"
"22","Intermittent"
"23","Intermittent"
"24","Semi-permanent"
"25","Intermittent"
"26","Intermittent"
"27","Intermittent"
"28","Intermittent"
"29","Intermittent"
"30","Intermittent"
"31","Intermittent"
"32","Intermittent"
"33","Permanent"
"34","Semi-permanent"
"35","Intermittent"
"36","Intermittent"
"37","Semi-permanent"
"38","Intermittent"
"39","Intermittent"
"40","Permanent"
"41","Intermittent"
"42","Permanent"
"43","Permanent"
"44","Permanent"
"45","Permanent"
"46","Permanent"
"47","Permanent"
"48","Intermittent"
"49","Permanent"
"50","Intermittent"
"51","Intermittent"
"52","Intermittent"
"53","Intermittent"
"54","Intermittent"
"55","Intermittent"
"56","Intermittent"
"57","Intermittent"
"58","Intermittent"
"59","Intermittent"
"60","Intermittent"
"61","Intermittent"
"62","Intermittent"
"63","Intermittent"
"64","Intermittent"
"65","Intermittent"
"66","Intermittent"
"67","Intermittent"
"68","Intermittent"
"69","Intermittent"
"70","Intermittent"
"71","Intermittent"
"72","Intermittent"
"73","Intermittent"
"74","Intermittent"
"75","Intermittent"
"76","Intermittent"
"77","Intermittent"
"78","Intermittent"
"79","Intermittent"
"80","Intermittent"
"81","Intermittent"
"82","Intermittent"
"83","Intermittent"
"84","Intermittent"
"85","Intermittent"
"86","Intermittent"
"87","Intermittent"
"88","Intermittent"
"89","Intermittent"
"90","Intermittent"
"91","Intermittent"
"92","Intermittent"
"93","Intermittent"
"94","Intermittent"
"95","Intermittent"
"96","Intermittent"
"97","Intermittent"
"98","Intermittent"
"99","Intermittent"
"100","Intermittent"
"101","Intermittent"
"102","Intermittent"
"103","Intermittent"
"104","Intermittent"
"105","Intermittent"
"106","Intermittent"
"107","Intermittent"
"108","Intermittent"
"109","Intermittent"
"110","Intermittent"
"111","Intermittent"
"112","Intermittent"
"113","Intermittent"
"114","Intermittent"
"115","Intermittent"
"116","Intermittent"
"117","Intermittent"
"118","Intermittent"
"119","Intermittent"
"120","Intermittent"
"121","Intermittent"
"122","Intermittent"
"123","Intermittent"
"124","Intermittent"
"125","Intermittent"
"126","Intermittent"
"127","Intermittent"
"128","Intermittent"
"129","Intermittent"
"130","Intermittent"
"131","Intermittent"
"132","Intermittent"
"133","Intermittent"
"134","Intermittent"
"135","Intermittent"
"136","Permanent"
"137","Intermittent"
"138","Intermittent"
"139","Intermittent"
"140","Intermittent"
"141","Intermittent"
"142","Intermittent"
"143","Intermittent"
"144","Intermittent"
"145","Permanent"
"146","Intermittent"
"147","Intermittent"
"148","Intermittent"
"149","Permanent"
"150","Intermittent"
"151","Intermittent"
"152","Permanent"
"153","Intermittent"
"154","Permanent"
"155","Intermittent"
"156","Intermittent"
"157","Intermittent"
"158","Intermittent"
"159","Intermittent"
"160","Intermittent"
"161","Intermittent"
"162","Permanent"
"163","Intermittent"
"164","Intermittent"
"165","Semi-permanent"
"166","Permanent"
"167","Intermittent"
"168","Intermittent"
"169","Permanent"
"170","Semi-permanent"
"171","Intermittent"
"172","Intermittent"
"173","Intermittent"
"174","Intermittent"
"175","Permanent"
"176","Intermittent"
"177","Intermittent"
"178","Intermittent"
"179","Permanent"
"180","Intermittent"
"181","Intermittent"
"182","Intermittent"
"183","Permanent"
"184","Intermittent"
"185","Intermittent"
"186","Intermittent"
"187","Intermittent"
"188","Permanent"
"189","Intermittent"
"190","Intermittent"
"191","Permanent"
"192","Intermittent"
"193","Permanent"
"194","Intermittent"
"195","Intermittent"
"196","Permanent"
"197","Intermittent"
"198","Intermittent"
"199","Intermittent"
"200","Intermittent"
"201","Permanent"
"202","Intermittent"
"203","Intermittent"
"204","Intermittent"
"205","Intermittent"
"206","Intermittent"
"207","Intermittent"
"208","Intermittent"
"209","Intermittent"
"210","Intermittent"
"211","Intermittent"
"212","Intermittent"
"213","Intermittent"
"214","Intermittent"
"215","Intermittent"
"216","Intermittent"
"217","Permanent"
"218","Permanent"
"219","Permanent"
"220","Permanent"
"221","Permanent"
"222","Intermittent"
"223","Intermittent"
"224","Intermittent"
"225","Permanent"
"226","Intermittent"
"227","Intermittent"
"228","Intermittent"
"229","Intermittent"
"230","Intermittent"
"231","Intermittent"
"232","Intermittent"
"233","Intermittent"
"234","Semi-permanent"
"235","Intermittent"
"236","Intermittent"
"237","Intermittent"
"238","Intermittent"
"239","Intermittent"
"240","Intermittent"
"241","Intermittent"
"242","Intermittent"
"243","Permanent"
"244","Permanent"
"245","Permanent"
"246","Permanent"
"247","Intermittent"
"248","Intermittent"
"249","Intermittent"
"250","Semi-permanent"
"251","Intermittent"
"252","Intermittent"
"253","Intermittent"
"254","Intermittent"
"255","Permanent"
"256","Intermittent"
"257","Intermittent"
"258","Intermittent"
"259","Intermittent"
"260","Intermittent"
"261","Intermittent"
"262","Intermittent"
"263","Intermittent"
"264","Permanent"
"265","Intermittent"
"266","Intermittent"
"267","Intermittent"
"268","Intermittent"
"269","Intermittent"
"270","Intermittent"
"271","Intermittent"
"272","Intermittent"
"273","Intermittent"
"274","Semi-permanent"
